1.280,682100;0,539957;8;27,000000;0,636623;1,392097;0,156863;2,666667;2,215686;0,038272;3,000000;1,988751;101,393608;44,5393;1,945445;1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 0 1 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 1 0 0 0 1 0 0 1 0 0 0 1 0 0 0 1 1 1 0 0 0 ;3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 3 0 3 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 3 0 0 0 0 3 0 0 0 0 0 3 0 0 3 0 0 0 3 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 3 0 3 0 0 0 3 0 0 3 0 0 0 3 0 0 0 3 3 3 0 0 0 ;1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 16.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 16.0 0.0 0.0 0.0 0.0 0.0 7.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 16.0 0.0 12.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 27.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 5.0 0.0 0.0 14.0 0.0 0.0 0.0 0.0 2.0 0.0 0.0 0.0 0.0 0.0 6.0 0.0 0.0 12.0 0.0 0.0 0.0 21.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 21.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 17.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 17.0 0.0 0.0 0.0 0.0 0.0 0.0 5.0 0.0 16.0 0.0 0.0 0.0 11.0 0.0 0.0 19.0 0.0 0.0 0.0 17.0 0.0 0.0 0.0 17.0 33.0 17.0 0.0 0.0 0.0 ;0,114810;0,000000;0,000000;0,000000;0,000000;2.654,504252;9,657170;150;0,631;0;0;1,348;0.042810098792535674;0.04402021887422094;28031.868595
3.947,805373;0,000010;29;27,000000;0,719629;1,503345;0,189542;3,222222;2,287582;0,156085;4,000000;1,722266;103,855983;43,5485;1,022511;1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 1 0 0 1 0 0 0 1 1 0 1 0 0 1 0 0 0 1 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 1 1 0 0 0 1 0 0 ;3 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 3 3 0 0 0 0 0 0 0 0 0 3 0 0 0 3 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 3 0 0 0 0 0 0 0 0 0 3 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 3 0 0 0 0 0 0 3 0 0 3 0 0 0 3 3 0 3 0 0 3 0 0 0 3 0 0 3 0 0 3 0 0 0 0 0 0 0 0 0 3 3 0 0 0 3 0 0 0 0 0 0 3 3 0 0 0 3 0 0 ;6.0 0.0 0.0 0.0 0.0 0.0 0.0 16.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 23.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 16.0 0.0 0.0 0.0 10.0 0.0 18.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 10.0 11.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 4.0 0.0 0.0 0.0 11.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 18.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 11.0 0.0 11.0 0.0 0.0 0.0 0.0 0.0 0.0 9.0 0.0 0.0 20.0 0.0 0.0 0.0 4.0 15.0 0.0 20.0 0.0 0.0 4.0 0.0 0.0 0.0 12.0 0.0 0.0 3.0 0.0 0.0 13.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 29.0 13.0 0.0 0.0 0.0 27.0 0.0 0.0 0.0 0.0 0.0 0.0 15.0 12.0 0.0 0.0 0.0 13.0 0.0 0.0 ;0,151583;0,000000;0,000000;0,000000;0,000000;2.591,701167;9,654048;100;0,719;0;0;0,929;0.06817134960847536;0.06941515831379362;41678.725347
2.078,231187;0,313283;8;27,000000;0,454860;2,237260;0,235294;4,000000;2,189542;0,171958;5,000000;2,663291;158,529619;51,1707;1,240763;0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 1 0 1 1 0 0 0 1 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 1 0 1 0 0 0 0 0 1 0 0 0 1 0 0 1 0 1 0 0 0 1 0 1 0 0 0 0 1 0 1 0 0 0 0 1 0 0 1 0 0 0 0 1 1 1 1 0 0 0 1 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 1 1 0 0 0 0 1 0 0 0 ;0 0 0 0 0 0 0 0 0 0 3 0 0 3 0 0 0 0 0 3 0 3 3 0 0 0 3 0 3 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 3 0 3 0 0 0 3 0 3 0 0 0 0 0 3 0 0 0 3 0 0 3 0 3 0 0 0 3 0 3 0 0 0 0 3 0 3 0 0 0 0 3 0 0 3 0 0 0 0 3 3 3 3 0 0 0 3 0 0 0 0 3 0 0 0 3 0 0 0 0 0 0 3 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 3 0 0 0 0 0 0 3 3 0 0 0 0 3 0 0 0 ;0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 15.0 0.0 0.0 2.0 0.0 0.0 0.0 0.0 0.0 4.0 0.0 16.0 18.0 0.0 0.0 0.0 7.0 0.0 12.0 0.0 0.0 0.0 0.0 8.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 7.0 0.0 6.0 0.0 0.0 0.0 14.0 0.0 6.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 3.0 0.0 0.0 2.0 0.0 3.0 0.0 0.0 0.0 1.0 0.0 4.0 0.0 0.0 0.0 0.0 27.0 0.0 17.0 0.0 0.0 0.0 0.0 7.0 0.0 0.0 13.0 0.0 0.0 0.0 0.0 2.0 1.0 2.0 2.0 0.0 0.0 0.0 6.0 0.0 0.0 0.0 0.0 3.0 0.0 0.0 0.0 17.0 0.0 0.0 0.0 0.0 0.0 0.0 38.0 0.0 0.0 28.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 33.0 0.0 0.0 12.0 0.0 0.0 0.0 0.0 0.0 0.0 19.0 17.0 0.0 0.0 0.0 0.0 8.0 0.0 0.0 0.0 ;0,222757;0,000000;0,000000;0,000000;0,000000;2.583,842457;9,624588;100;0,853;0;0;1,091;0.14578111946532998;0.14806997112841788;62079.693011
1.854,312516;0,359195;15;27,000000;0,357853;1,183770;0,150327;2,555556;2,647059;0,055556;5,000000;1,988751;118,076200;44,4118;1,524437;1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 1 0 0 0 1 0 1 0 0 0 ;3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 3 0 0 0 0 0 0 3 0 0 0 3 0 3 0 0 0 0 0 0 0 0 0 3 0 0 0 0 3 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 3 0 3 0 0 0 0 0 0 0 0 3 0 0 0 3 0 0 0 3 0 0 0 0 0 0 0 3 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 3 0 0 0 3 0 0 0 0 0 0 3 0 0 0 3 0 3 0 0 0 ;41.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 42.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 46.0 0.0 0.0 0.0 0.0 0.0 9.0 0.0 0.0 0.0 0.0 0.0 0.0 2.0 0.0 0.0 0.0 18.0 0.0 7.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 22.0 0.0 0.0 0.0 0.0 3.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 7.0 0.0 0.0 0.0 0.0 0.0 17.0 0.0 5.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 22.0 0.0 0.0 0.0 28.0 0.0 0.0 0.0 15.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 14.0 0.0 0.0 0.0 0.0 0.0 0.0 18.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 17.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 16.0 0.0 0.0 0.0 25.0 0.0 0.0 0.0 0.0 0.0 0.0 17.0 0.0 0.0 0.0 17.0 0.0 17.0 0.0 0.0 0.0 ;0,113694;0,000000;0,000000;0,000000;0,000000;2.399,613251;9,627516;150;0,614;0;0;1,913;0.0412071967498549;0.04276505280482787;15100.54417
1.442,958486;0,557414;9;27,000000;0,437126;1,226759;0,163399;2,777778;2,535948;0,000000;5,000000;2,171360;125,262508;43,9911;1,226989;1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1 0 0 0 0 0 1 0 1 0 1 0 0 ;3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 3 0 3 0 0 0 3 0 3 3 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 3 0 0 0 0 0 3 0 3 0 0 0 0 0 0 0 0 0 0 0 3 3 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 3 0 3 3 3 0 0 0 0 0 3 0 3 0 3 0 0 ;17.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 29.0 0.0 0.0 0.0 0.0 0.0 0.0 21.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 17.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 4.0 0.0 11.0 0.0 0.0 0.0 8.0 0.0 8.0 23.0 30.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 17.0 0.0 15.0 0.0 0.0 0.0 0.0 0.0 34.0 0.0 16.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 27.0 6.0 0.0 0.0 0.0 0.0 0.0 17.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 12.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 22.0 0.0 19.0 11.0 22.0 0.0 0.0 0.0 0.0 0.0 9.0 0.0 6.0 0.0 11.0 0.0 0.0 ;0,124786;0,000000;0,000000;0,000000;0,000000;2.440,863081;9,632301;200;0,592;0;0;1,2;0.03552206673842842;0.03666581792088146;23223.242908
5.458,923097;0,000700;16;35,000000;1,728715;3,589729;0,346405;5,888889;1,718954;0,339286;3,000000;2,657743;97,189542;58,4334;0,966985;1 1 1 1 0 0 0 0 1 0 0 0 0 0 0 0 1 0 1 0 0 1 0 0 1 0 0 1 0 1 0 0 0 1 1 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 1 1 1 0 0 0 0 1 0 0 1 0 1 0 0 0 1 0 1 0 0 1 1 0 0 0 0 1 1 0 1 1 0 0 1 1 1 1 1 0 0 0 0 1 1 1 1 1 0 0 1 0 1 0 1 0 0 0 1 0 0 0 0 1 0 0 0 1 1 1 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 1 ;3 3 3 3 0 0 0 0 3 0 0 0 0 0 0 0 3 0 3 0 0 3 0 0 3 0 0 3 0 3 0 0 0 3 3 0 0 0 0 0 0 0 3 0 0 0 0 3 0 0 0 3 3 3 0 0 0 0 3 0 0 3 0 3 0 0 0 3 0 3 0 0 3 3 0 0 0 0 3 3 0 3 3 0 0 3 3 3 3 3 0 0 0 0 3 3 3 3 3 0 0 3 0 3 0 3 0 0 0 3 0 0 0 0 3 0 0 0 3 3 3 0 3 3 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 3 0 0 0 3 ;3.0 2.0 1.0 1.0 0.0 0.0 0.0 0.0 11.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 3.0 0.0 0.0 12.0 0.0 0.0 2.0 0.0 0.0 9.0 0.0 6.0 0.0 0.0 0.0 12.0 4.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 4.0 0.0 0.0 0.0 0.0 3.0 0.0 0.0 0.0 14.0 4.0 2.0 0.0 0.0 0.0 0.0 5.0 0.0 0.0 10.0 0.0 8.0 0.0 0.0 0.0 3.0 0.0 1.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 7.0 8.0 0.0 4.0 2.0 0.0 0.0 3.0 3.0 18.0 11.0 8.0 0.0 0.0 0.0 0.0 7.0 3.0 3.0 1.0 5.0 0.0 0.0 12.0 0.0 12.0 0.0 6.0 0.0 0.0 0.0 9.0 0.0 0.0 0.0 0.0 2.0 0.0 0.0 0.0 5.0 3.0 2.0 0.0 5.0 4.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 2.0 0.0 0.0 7.0 0.0 0.0 0.0 1.0 ;0,374537;0,000000;0,000000;0,000000;0,000000;2.987,178127;9,655001;100;0,939;0;0;0,364;0.1184659090909091;0.11929897951320469;159301.567566
3.511,500524;0,104866;26;27,000000;0,517633;1,339039;0,183007;3,111111;2,352941;0,000000;4,000000;2,078176;174,597154;50,5118;1,277279;1 0 0 0 0 0 0 0 0 1 1 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 1 0 0 0 0 0 1 0 0 0 0 0 1 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 1 0 1 0 0 ;3 0 0 0 0 0 0 0 0 3 3 0 0 0 0 3 0 0 0 0 0 3 0 0 0 0 0 0 3 0 0 0 0 0 0 3 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 3 0 0 3 0 0 0 0 0 0 3 3 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 3 0 0 0 0 0 3 0 3 0 0 0 0 0 3 0 0 0 0 0 3 3 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 3 0 0 0 3 0 0 0 0 0 0 3 3 3 0 0 0 0 0 0 0 3 0 3 0 0 ;9.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 16.0 34.0 0.0 0.0 0.0 0.0 26.0 0.0 0.0 0.0 0.0 0.0 11.0 0.0 0.0 0.0 0.0 0.0 0.0 15.0 0.0 0.0 0.0 0.0 0.0 0.0 7.0 0.0 0.0 0.0 0.0 0.0 16.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 2.0 0.0 0.0 15.0 0.0 0.0 0.0 0.0 0.0 0.0 11.0 13.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 5.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 11.0 0.0 0.0 0.0 0.0 0.0 24.0 0.0 18.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 24.0 7.0 0.0 0.0 0.0 0.0 0.0 17.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 12.0 0.0 0.0 0.0 0.0 0.0 0.0 16.0 0.0 0.0 0.0 17.0 0.0 0.0 0.0 0.0 0.0 0.0 20.0 10.0 13.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 7.0 0.0 7.0 0.0 0.0 ;0,160017;0,000000;0,000000;0,000000;0,000000;2.484,507996;9,620916;200;0,892;0;0;1,185;0.06201923076923077;0.06355761850809546;25829.538392
3.476,885209;0,000480;29;27,000000;0,617345;1,282869;0,169935;2,888889;2,366013;0,031481;4,000000;2,171360;113,513973;41,4980;1,168305;1 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 1 1 0 0 0 1 0 0 ;3 0 0 0 0 0 0 3 0 0 0 3 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 3 0 0 0 0 0 0 0 3 0 0 0 0 0 0 3 3 0 0 0 0 0 0 0 0 3 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 3 0 3 0 0 0 3 0 0 0 0 0 0 0 0 0 3 0 0 0 0 3 0 3 0 0 3 0 0 0 3 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 3 0 3 3 0 0 0 3 0 0 ;5.0 0.0 0.0 0.0 0.0 0.0 0.0 16.0 0.0 0.0 0.0 8.0 0.0 0.0 0.0 0.0 0.0 14.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 10.0 0.0 21.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.0 0.0 0.0 0.0 0.0 0.0 0.0 8.0 7.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 13.0 0.0 0.0 0.0 0.0 15.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 16.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 13.0 0.0 22.0 0.0 0.0 0.0 7.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 12.0 0.0 0.0 0.0 0.0 30.0 0.0 15.0 0.0 0.0 12.0 0.0 0.0 0.0 17.0 0.0 0.0 0.0 0.0 0.0 20.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 13.0 0.0 0.0 0.0 0.0 18.0 0.0 18.0 17.0 0.0 0.0 0.0 17.0 0.0 0.0 ;0,112301;0,000000;0,000000;0,000000;0,000000;2.600,966206;9,656868;100;0,521;0;0;0,962;0.013772749631087064;0.014173770425415596;24696.757863
2.679,223834;0,150557;23;27,000000;0,411082;1,253213;0,156863;2,666667;2,549020;0,165608;5,000000;2,169035;138,481339;46,0465;1,379367;1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 1 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 1 1 0 0 0 0 1 0 0 0 0 1 0 0 0 1 0 0 0 0 0 ;3 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 3 0 0 0 0 3 0 0 0 0 0 3 3 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 3 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 3 0 3 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 3 0 3 0 0 0 3 0 0 0 0 0 0 0 0 3 0 0 0 0 3 0 0 0 0 3 0 0 0 0 0 0 0 0 3 3 0 0 0 0 3 0 0 0 0 3 0 0 0 3 0 0 0 0 0 ;21.0 12.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 32.0 0.0 0.0 0.0 0.0 0.0 9.0 0.0 0.0 0.0 0.0 12.0 0.0 0.0 0.0 0.0 0.0 11.0 17.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 17.0 0.0 0.0 0.0 0.0 14.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 21.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 5.0 0.0 11.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 11.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 6.0 0.0 19.0 0.0 0.0 0.0 20.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 11.0 0.0 0.0 0.0 0.0 25.0 0.0 0.0 0.0 0.0 16.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 4.0 30.0 0.0 0.0 0.0 0.0 18.0 0.0 0.0 0.0 0.0 51.0 0.0 0.0 0.0 17.0 0.0 0.0 0.0 0.0 0.0 ;0,119194;0,000000;0,000000;0,000000;0,000000;2.426,747435;9,625010;150;0,633;0;0;1,958;0.060451977401129946;0.06244284117467737;21072.588824
3.662,292369;0,125881;11;33,000000;1,691993;2,983558;0,307190;5,222222;1,816993;0,353395;3,000000;2,258460;95,901822;48,5834;1,005544;0 1 0 0 0 0 0 1 0 1 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 1 0 1 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 1 1 0 0 0 0 1 0 0 1 0 1 1 1 0 0 0 1 0 0 0 0 0 0 1 1 0 0 0 1 1 0 0 1 0 0 0 0 0 1 0 1 0 0 1 0 0 1 0 1 1 0 0 1 1 0 0 0 0 0 0 0 0 1 0 0 0 0 1 1 0 1 0 1 0 0 0 0 0 1 1 0 1 0 0 1 0 1 0 1 0 0 0 1 1 1 0 0 0 ;0 3 0 0 0 0 0 3 0 3 0 0 0 0 0 0 3 0 3 0 0 0 0 0 0 0 3 0 3 0 0 3 0 3 0 0 0 0 0 0 0 0 0 0 0 0 3 3 0 3 0 0 0 0 3 3 0 0 0 0 3 0 0 3 0 3 3 3 0 0 0 3 0 0 0 0 0 0 3 3 0 0 0 3 3 0 0 3 0 0 0 0 0 3 0 3 0 0 3 0 0 3 0 3 3 0 0 3 3 0 0 0 0 0 0 0 0 3 0 0 0 0 3 3 0 3 0 3 0 0 0 0 0 3 3 0 3 0 0 3 0 3 0 3 0 0 0 3 3 3 0 0 0 ;0.0 4.0 0.0 0.0 0.0 0.0 0.0 15.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 12.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 4.0 0.0 15.0 0.0 0.0 4.0 0.0 11.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 6.0 2.0 0.0 4.0 0.0 0.0 0.0 0.0 2.0 3.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 5.0 0.0 2.0 1.0 3.0 0.0 0.0 0.0 8.0 0.0 0.0 0.0 0.0 0.0 0.0 5.0 4.0 0.0 0.0 0.0 9.0 1.0 0.0 0.0 16.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 1.0 0.0 0.0 15.0 0.0 0.0 14.0 0.0 3.0 9.0 0.0 0.0 4.0 17.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 6.0 0.0 0.0 0.0 0.0 4.0 16.0 0.0 2.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 3.0 4.0 0.0 11.0 0.0 0.0 10.0 0.0 7.0 0.0 18.0 0.0 0.0 0.0 11.0 4.0 10.0 0.0 0.0 0.0 ;0,285201;0,000000;0,000000;0,000000;0,000000;2.913,278820;9,671889;150;0,882;0;0;0,41;0.07136665703553886;0.072001978389895;102208.169117
